"국적별(1)",국적별(2),2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04,2025.05,2025.05,2025.05,2025.05,2025.05,2025.05
"국적별(1)",국적별(2),계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타
"구주",오스트리아,1494,1279,5,1,10,199,2128,1963,3,0,7,155,1397,1235,8,0,34,120
"구주",핀란드,1283,936,13,-,19,315,1605,1282,10,0,15,298,1576,1195,12,1,67,301
"구주",벨기에,1565,1342,20,2,18,183,2877,2642,12,4,9,210,2072,1831,15,6,50,170
"구주",크로아티아,554,313,3,-,1,237,850,521,6,1,2,320,673,347,10,1,6,309
"구주",그리스,1200,924,15,2,2,257,1469,1094,19,3,-,353,1068,750,19,3,3,293
"구주",불가리아,949,780,1,2,8,158,1388,1135,1,1,5,246,751,559,3,2,11,176
"구주",덴마크,1403,1277,21,4,10,91,2137,2028,23,-,5,81,1303,1148,17,1,25,112
"구주",아일랜드,1224,1114,2,0,7,101,1918,1821,4,1,3,89,1465,1351,4,3,13,94
"구주",구주 기타,5401,4228,38,20,87,1028,7910,6749,44,15,31,1071,6014,4904,68,22,119,901
"대양주",소계,24817,21952,76,60,24,2705,41623,39062,72,68,10,2411,27238,24631,78,93,36,2400
"대양주",오스트레일리아,20574,18595,62,55,15,1847,36222,34320,51,45,7,1799,23013,21133,65,67,29,1719
"대양주",뉴질랜드,4002,3195,13,3,3,788,5036,4484,17,5,3,527,3949,3303,10,3,6,627
"대양주",대양주 기타,241,162,1,2,6,70,365,258,4,18,-,85,276,195,3,23,1,54
"아프리카",소계,5288,1446,288,72,353,3129,7929,3206,452,91,83,4097,6965,2419,429,82,126,3909
"아프리카",남아프리카공화국,1308,506,3,1,6,792,1839,942,3,1,1,892,1844,662,9,1,1,1171
"아프리카",아프리카 기타,3980,940,285,71,347,2337,6090,2264,449,90,82,3205,5121,1757,420,81,125,2738
"기타",소계,26,16,1,-,-,9,21,16,0,-,1,4,17,12,0,-,-,5
"기타",국적미상,26,16,1,-,-,9,21,16,0,-,1,4,17,12,0,-,-,5
"교포",소계,2506,-,-,-,-,2506,2651,-,-,-,-,2651,2487,-,-,-,-,2487
"교포",교포,2506,-,-,-,-,2506,2651,-,-,-,-,2651,2487,-,-,-,-,2487
